"","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene_symbol"
"ENSG00000005884",-0.556947182410535,2.77355868807052,-1.48127363336299,0.141461775011884,0.337314441834153,-5.02116795944889,"ITGA3"
"ENSG00000005889",-0.276506790176403,4.84457708449675,-1.01157322908472,0.314015837390319,0.527059572826297,-5.74730284991258,"ZFX"
"ENSG00000005893",-0.239820280114295,6.32443568956608,-0.937184415139855,0.350766527137714,0.561170456655878,-5.94208818455172,"LAMP2"
"ENSG00000005981",0.560613926527873,1.57838284880811,1.99299766704311,0.0487980727387288,0.182396622737006,-4.18646498961708,"ASB4"
"ENSG00000006007",-0.722074854191634,3.98784839330208,-2.79060853323858,0.0062271135566669,0.0544221246140382,-2.52903329322775,"GDE1"
"ENSG00000006015",0.0982424771446737,3.46914255572885,0.417661915210565,0.677028172166608,0.814387921843153,-6.02789617477507,"REX1BD"
"ENSG00000006016",-0.367794042096702,1.5733762880852,-1.19171225648762,0.236000979180867,0.448038820232961,-5.37325821279623,"CRLF1"
"ENSG00000006042",-0.842882729157873,1.61796765154462,-2.39486770317994,0.0183581653472794,0.102894051271013,-3.38447859999676,"TMEM98"
"ENSG00000006047",0.317873662124853,1.72531278716933,0.97393820813561,0.332275855812983,0.543837214192025,-5.59514893489555,"YBX2"
"ENSG00000006062",-0.265022318569622,1.58098898196865,-1.03421056638955,0.30336100895607,0.516310091272034,-5.53447755163552,"MAP3K14"
"ENSG00000006118",0.479751067192119,3.27849245470281,1.82622594778515,0.0705943253826716,0.22520624567314,-4.53965307106775,"TMEM132A"
"ENSG00000006125",0.0648976507979378,6.03373464435434,0.285837305413391,0.775553341996507,0.876328300337847,-6.31076340395815,"AP2B1"
"ENSG00000006194",-0.356360553865182,2.67571751925294,-1.27988165578203,0.203344658783461,0.412168969135533,-5.2822230745022,"ZNF263"
"ENSG00000006210",-0.846417966672367,1.1036012379946,-2.82755086248286,0.0055965285857394,0.0510166392894336,-2.3778448135261,"CX3CL1"
"ENSG00000006282",-0.0727000563016222,3.0841566474451,-0.265934082326439,0.790799841247731,0.885586804245738,-6.0565148331657,"SPATA20"
"ENSG00000006327",-1.07275060391727,3.23594180167049,-2.9525843254008,0.0038711350211822,0.0404135148447203,-2.08227853461647,"TNFRSF12A"
"ENSG00000006451",-0.554184651096468,4.41133905380013,-2.10054944051168,0.0380215299067305,0.155845507098736,-4.10238184972093,"RALA"
"ENSG00000006453",0.101535445924631,3.77910758582224,0.438340544547029,0.662019917645778,0.804242107148212,-6.04941134951724,"BAIAP2L1"
"ENSG00000006459",-0.0433795486478707,3.57726516433224,-0.146964886318908,0.88343527653637,0.938207266296882,-6.11062339601014,"KDM7A"
"ENSG00000006530",0.670975172610077,4.00681622648465,2.69837981331203,0.00809427936711158,0.0628841634519774,-2.77511638788086,"AGK"
"ENSG00000006534",-0.919652372562099,4.84163846214339,-3.68423451736274,0.0003611725504183,0.00815069738823042,-0.0414548158813455,"ALDH3B1"
